Freq_Hz,S22_DB,S22_DEG
1000000000,-2.5420167,-51.643276
1055000000,-2.6278672,-66.144661
1110000000,-2.7131994,-78.967445
1165000000,-2.8289394,-91.146149
1220000000,-3.0514655,-102.62754
1275000000,-3.2323074,-113.73044
1330000000,-3.5052114,-124.61959
1385000000,-3.8378658,-134.54765
1440000000,-4.0468793,-144.02219
1495000000,-4.2580676,-154.17706
1550000000,-4.514852,-164.68752
1605000000,-4.8517485,-176.11722
1660000000,-5.4105453,172.41147
1715000000,-6.0447025,161.5657
1770000000,-6.8118954,150.50153
1825000000,-7.8377972,139.03575
1880000000,-9.068923,128.16495
1935000000,-10.634989,117.68581
1990000000,-13.197025,108.95618
2045000000,-15.600111,110.62754
2100000000,-17.606449,117.23249
2155000000,-17.999428,127.98889
2210000000,-17.687521,135.28653
2265000000,-16.584864,139.12413
2320000000,-15.162308,136.55702
2375000000,-14.06049,128.5314
2430000000,-13.289635,119.2301
2485000000,-12.739741,108.90539
2540000000,-12.670145,95.89666
2595000000,-13.1568,82.785446
2650000000,-13.556157,71.684547
2705000000,-13.865972,59.963524
2760000000,-14.217916,45.851498
2815000000,-14.782396,29.985479
2870000000,-15.447841,12.341345
2925000000,-15.955608,-6.7337427
2980000000,-16.748171,-26.711977
3035000000,-17.291466,-46.430302
3090000000,-16.87446,-68.666191
3145000000,-16.423943,-90.430458
3200000000,-15.592223,-110.54616
3255000000,-14.774914,-129.30476
3310000000,-13.863887,-145.35347
3365000000,-12.661085,-160.33556
3420000000,-11.791263,-175.09821
3475000000,-11.008986,170.61227
3530000000,-10.246145,157.43719
3585000000,-9.6933832,143.68211
3640000000,-9.3625879,131.38698
3695000000,-8.9269123,119.42059
3750000000,-8.6367016,107.54461
3805000000,-8.4970379,95.654602
3860000000,-8.2286549,84.136185
3915000000,-8.1953735,71.570343
3970000000,-8.2696953,60.268085
4025000000,-8.4172926,47.789974
4080000000,-8.7497435,35.263088
4135000000,-9.1598406,22.993263
4190000000,-9.6046114,10.872127
4245000000,-10.292811,-2.4932461
4300000000,-11.13024,-16.324049
4355000000,-12.250032,-31.281908
4410000000,-13.752963,-47.151455
4465000000,-15.713346,-64.380341
4520000000,-18.154528,-84.360077
4575000000,-21.088104,-109.95857
4630000000,-24.060331,-146.32657
4685000000,-25.174629,164.60162
4740000000,-23.264326,121.96095
4795000000,-21.193207,92.895149
4850000000,-20.019539,73.424042
4905000000,-18.833439,56.648228
4960000000,-18.512629,39.783306
5015000000,-18.876038,27.764069
5070000000,-19.560181,14.365743
5125000000,-20.902866,3.5698717
5180000000,-23.244829,-5.732439
5235000000,-27.462114,-12.223009
5290000000,-35.350159,28.961901
5345000000,-29.093483,94.825714
5400000000,-23.176638,98.322495
5455000000,-19.121931,88.95063
5510000000,-16.219997,78.923004
5565000000,-14.309111,67.33638
5620000000,-12.733301,56.708748
5675000000,-11.65844,44.969971
5730000000,-10.665688,34.235744
5785000000,-9.9600019,23.229288
5840000000,-9.440836,11.997636
5895000000,-9.0624733,1.5578123
5950000000,-8.8250456,-9.6304836
6005000000,-8.7143011,-20.162762
6060000000,-8.736804,-30.434252
6115000000,-8.7888975,-41.096367
6170000000,-9.0162001,-51.687572
6225000000,-9.4791927,-62.396362
6280000000,-10.030151,-72.61776
6335000000,-10.777077,-83.816223
6390000000,-11.686715,-94.356682
6445000000,-12.966517,-104.74268
6500000000,-14.579762,-114.74244
6555000000,-16.54554,-124.80161
6610000000,-19.387297,-133.08635
6665000000,-22.85074,-137.94031
6720000000,-29.644617,-132.19011
6775000000,-35.420971,-64.884583
6830000000,-27.328205,-28.388823
6885000000,-23.306189,-26.454788
6940000000,-20.842112,-33.305321
6995000000,-19.168104,-40.596088
7050000000,-18.552216,-46.604897
7105000000,-17.755894,-52.843182
7160000000,-17.34893,-58.205357
7215000000,-17.495476,-63.979126
7270000000,-17.66465,-65.32402
7325000000,-17.562511,-66.690643
7380000000,-17.602919,-66.221809
7435000000,-17.323797,-65.523705
7490000000,-16.907585,-63.80711
7545000000,-16.114943,-63.577068
7600000000,-15.213401,-64.297134
7655000000,-14.436181,-67.414589
7710000000,-13.485141,-70.431778
7765000000,-12.712904,-75.709686
7820000000,-12.106744,-80.536766
7875000000,-11.50703,-86.037773
7930000000,-11.039429,-92.374817
7985000000,-10.765156,-98.394379
8040000000,-10.495584,-104.29267
8095000000,-10.280058,-110.3906
8150000000,-10.180481,-116.60231
8205000000,-10.1802,-122.48617
8260000000,-10.211638,-128.14496
8315000000,-10.296055,-134.33443
8370000000,-10.568434,-139.72163
8425000000,-10.76514,-144.80424
8480000000,-11.088228,-150.28751
8535000000,-11.690965,-155.0687
8590000000,-12.249559,-158.89276
8645000000,-13.039764,-161.71255
8700000000,-13.785643,-163.48366
8755000000,-14.699256,-163.18361
8810000000,-15.410215,-160.09158
8865000000,-15.766585,-154.87619
8920000000,-15.564803,-148.05434
8975000000,-14.880836,-145.18137
9030000000,-14.137587,-142.83655
9085000000,-13.157209,-143.85336
9140000000,-12.35183,-147.18996
9195000000,-11.923245,-150.87912
9250000000,-11.559512,-155.08488
9305000000,-11.420388,-160.0094
9360000000,-11.530649,-163.31767
9415000000,-11.680956,-166.18562
9470000000,-11.893472,-167.88293
9525000000,-12.165546,-168.24303
9580000000,-12.223676,-165.69055
9635000000,-11.862007,-163.68491
9690000000,-11.330575,-162.53789
9745000000,-10.56601,-162.1284
9800000000,-9.6745758,-164.28764
9855000000,-8.9490013,-167.81914
9910000000,-8.3046827,-172.32176
9965000000,-7.8274584,-177.38747
10020000000,-7.4989009,177.25291
10075000000,-7.2781982,171.87708
10130000000,-7.1936822,166.12047
10185000000,-7.253767,160.91298
10240000000,-7.3898463,155.99896
10295000000,-7.6766562,151.61766
10350000000,-8.0250587,147.69196
10405000000,-8.4525023,145.11179
10460000000,-8.9399328,143.34013
10515000000,-9.3538313,143.22868
10570000000,-9.6663485,144.1956
10625000000,-9.7231226,145.83655
10680000000,-9.5946941,147.86717
10735000000,-9.2131529,148.59105
10790000000,-8.7506342,148.36475
10845000000,-8.2682199,146.8051
10900000000,-7.8371544,144.8228
10955000000,-7.433269,141.79492
11010000000,-7.1912484,138.36998
11065000000,-6.9869013,134.96602
11120000000,-6.8776975,131.42969
11175000000,-6.8830886,127.85381
11230000000,-6.90833,124.66727
11285000000,-7.0528712,121.49408
11340000000,-7.2691603,119.36868
11395000000,-7.4378524,117.2601
11450000000,-7.7074208,116.06799
11505000000,-7.9442563,115.82598
11560000000,-8.0739155,116.52236
11615000000,-8.0996065,117.92111
11670000000,-7.8215313,119.74431
11725000000,-7.3952889,120.72149
11780000000,-6.795176,120.19326
11835000000,-6.2150598,118.69659
11890000000,-5.6608524,115.67043
11945000000,-5.2219353,112.27435
12000000000,-4.8926797,108.17534
